gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2012984171	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/20916098	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	MQ		28eb1a3f-1c15-4a95-931a-4af90ecb574d	14.248677	-60.837098	30968.0						2014-03-06T08:15:00Z	6	3	2014	9789983	9789983	HUMAN_OBSERVATION	iNaturalist	Observations	20916098			2019-03-03T18:18:06Z	CC_BY_NC_4_0	BOURGADE	BOURGADE			2019-03-19T21:29:12.619Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2006612158	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:263612	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	US	Monterey Bay, 4 mi N of Monterey	66522820-055c-11d8-b84e-b8a03c50a862	36.636228	-121.836858			3.0				1961-01-01T00:00:00Z			1961	9789983	9789983	PRESERVED_SPECIMEN	CAS	HERP	263612	RB-257	R. Bandar	1961-01-01T00:00:00Z	CC0_1_0		R. Bandar			2019-03-06T20:00:34.856Z		ELEVATION_NON_NUMERIC;COORDINATE_ROUNDED
2006612151	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:263611	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	US	Point Reyes National Seashore, N end of of RCA Beach, just S of Arroyo Hondo Creek.	66522820-055c-11d8-b84e-b8a03c50a862	37.924314	-122.736064			3.0				2005-09-01T00:00:00Z		9	2005	9789983	9789983	PRESERVED_SPECIMEN	CAS	HERP	263611	RB-5677	R. Bandar	2005-09-01T00:00:00Z	CC0_1_0		R. Bandar			2019-03-06T20:00:34.853Z		ELEVATION_NON_NUMERIC;COORDINATE_ROUNDED
2006612133	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:263456	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	US	Pomponio State Beach	66522820-055c-11d8-b84e-b8a03c50a862	37.293636	-122.407094	1300.0		2.0				1972-08-01T00:00:00Z		8	1972	9789983	9789983	PRESERVED_SPECIMEN	CAS	HERP	263456	RB-2042	R. Bandar	1972-08-01T00:00:00Z	CC0_1_0		R. Bandar			2019-03-06T20:00:34.834Z		ELEVATION_NON_NUMERIC;COORDINATE_ROUNDED
2006612072	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:263459	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	US	Golden Gate National Recreation Area, Sutro Baths Beach	66522820-055c-11d8-b84e-b8a03c50a862	37.779594	-122.514339			2.0				1998-09-01T00:00:00Z		9	1998	9789983	9789983	PRESERVED_SPECIMEN	CAS	HERP	263459	RB-4410	R. Bandar	1998-09-01T00:00:00Z	CC0_1_0		R. Bandar			2019-03-06T20:00:34.815Z		ELEVATION_NON_NUMERIC;COORDINATE_ROUNDED
2006612070	cece4fc2-1fec-4bb5-a335-7252548e3f0b	urn:catalog:CAS:HERP:263460	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	US	Golden Gate National Recreation Area, Fort Funston Beach, ca. 100 yds N of hang glider launching pad.	66522820-055c-11d8-b84e-b8a03c50a862	37.714867	-122.504422			2.0				2005-08-01T00:00:00Z		8	2005	9789983	9789983	PRESERVED_SPECIMEN	CAS	HERP	263460	RB-5673	R. Bandar	2005-08-01T00:00:00Z	CC0_1_0		R. Bandar			2019-03-06T20:00:34.835Z		ELEVATION_NON_NUMERIC;COORDINATE_ROUNDED
2005353216	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/20390826	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	CR		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.386444	-83.215259	31287.0						2019-01-18T14:46:00Z	18	1	2019	9789983	9789983	HUMAN_OBSERVATION	iNaturalist	Observations	20390826			2019-02-16T17:43:20Z	CC_BY_NC_4_0	Mark Wright	Mark Wright			2019-03-19T21:23:58.260Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2005295185	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/20230373	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	CR		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.354936	-83.255841	31287.0						2019-01-18T07:22:31Z	18	1	2019	9789983	9789983	HUMAN_OBSERVATION	iNaturalist	Observations	20230373			2019-02-09T16:05:46Z	CC_BY_NC_4_0	dylan_langley	dylan_langley			2019-03-19T21:21:43.616Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1993752372	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/20106965	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	CR		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.346958	-83.505369	31199.0						2013-05-24T00:00:00Z	24	5	2013	9789983	9789983	HUMAN_OBSERVATION	iNaturalist	Observations	20106965			2019-02-05T07:14:13Z	CC_BY_NC_4_0	John C.	John C.			2019-03-19T21:14:21.136Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1991381388	075d0752-d817-498f-8be8-3c7797844fde	POPA_TURTLES_997	Animalia	Chordata	Reptilia	Testudines	Dermochelyidae	Dermochelys	Dermochelys coriacea		SPECIES	Dermochelys coriacea (Vandelli, 1761)	PT		dfad10f6-d84b-4fa2-b6d0-df2a3eb38b65	38.72	-27.38	1000.0						2003-09-02T09:33:00Z	2	9	2003	9789983	9789983	HUMAN_OBSERVATION	POPA/IMAR	POPA_TURTLES	POPA_TURTLES_997				CC_BY_NC_4_0		popa observers			2019-02-08T14:42:28.835Z		
